erd1qqqqqqqqqqqqqpgq7yjnc8h25kh0egcp8zqycfwvvcejgnyy0n4s7t344y: ['TRYME-03ed95', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq7zd6d5w56hfxusfqr57j7hkchh6g7jzr0n4sxkkpwh: ['CEGLD-b22b50', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq82ycpsyr09hfu4k023484rpls5d2pge50n4sxzaun5: ['WEGLD-a28c59', 'MRSTKN-ef09ce']
erd1qqqqqqqqqqqqqpgq85q4rwr0lpkqydxuurw9gfa3w3ercjmg0n4s33008w: ['LUD03-ca2d6a', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq8d9ny7s93kdwr243h8fwpuq0ljy8dmzm0n4symnu6w: ['ANTHO-c7cd42', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq8f7pyt95925rc05sltpegyk7wypk6a7u0n4sdq7ejr: ['SPK-81618e', 'MEX-a659d0']
erd1qqqqqqqqqqqqqpgq8g4ht885545k4lg8zhy5fl8smx8x2qvc0n4shamxz5: ['SNP-975a0f', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq8rgg09fy3zvcn3w28xfw27ln5jrjhf400n4smcfh0r: ['MSTCH-4645ed', 'WBTC-05fd5b']
erd1qqqqqqqqqqqqqpgq8ser0nz39cmtvm2yt5cc3rgc0r70677l0n4sjtp5f5: ['TWEGLD1-219ebe', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgq8uw84fwhrpxad7ql34wrq5lpycggsu580n4sgjxluv: ['FOXXX-979abb', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq8vc40sucvgz6hrudxpeqgm6tf0eaxtlh0n4sdrhe2y: ['FIRE2-50de0b', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq90ku0cl5s587hxd0yl6rnp853mfxzd980n4schtjh0: ['JIT-360fd6', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq944t4rjrzyl5qvmv47040zy6xt0epvwp0n4sn8jelh: ['TEST-937469', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq957r57dca0h6avq2mtfd7tvxlhcp3r4y0n4sdq7clt: ['SUPER-19c5c5', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq9a5hd54ezkgp4rgudcgl5tgh0r5r2kxk0n4s6xvgg9: ['ONEFIN-97f288', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq9xg595f0kwek2yd54kz6atkv06r9ujnx0n4s2ymns9: ['ONE-83a7c0', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq9y6a95m5d5gu7ltg2txrelqeek398s4v0n4sjj8mn0: ['LUD04-705dc6', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqa05ph5e9f6hyy92synyawp4y8y9j3tkg0n4sgchc93: ['MMTEST-e5436d', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqa26z4sylta5ps8rjahut7r0ynk3ke2jg0n4s2hnxyz: ['PLM-11f2a8', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqa2vcryle30emm48ed7pdgm8xnuk4t2lv0n4s7ljq75: ['TEST0329-6d51d1', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqa64z6ypnffr7zkgartuq5us68kaegwuz0n4scfxhuc: ['WEGLD-a28c59', 'TVX-0c6ddd']
erd1qqqqqqqqqqqqqpgqa6huykvdr8854k8ykeptumlda2lhc3ys0n4s2573qn: ['CCC-16c951', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqa8u4l42ecaegw88uym7cxkfpdaygc58j0n4svedqpv: ['WEGLD-a28c59', 'FNT-eee7ef']
erd1qqqqqqqqqqqqqpgqadgv97akxlacthjt0emely77f24eus8l0n4sqrznwn: ['NOT-1e57e8', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqap8e0wp6l0vccs7gsxdjpaq96q0d34kj0n4sm4zk6t: ['MMTEST-e5436d', 'MEX-a659d0']
erd1qqqqqqqqqqqqqpgqaua6sky7sfg8372dz0w23ncy565040970n4s486zn4: ['WEGLD-a28c59', 'MOONCHEESE-62e91f']
erd1qqqqqqqqqqqqqpgqax5xu0zuww2ufmggf8uql82sn5hhnnje0n4s9m8e8w: ['E2ETK7HFNW-2f2c10', 'MEX-a659d0']
erd1qqqqqqqqqqqqqpgqaywx79kjxyc2n42yzlqqvpxt0yucfahy0n4s0p5763: ['KJKK-e74897', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqc8pmec588vrmhm73tuda5pwxdzxhdtv70n4s0e8tny: ['KITTY-b94f57', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqchmejv034yftu6m4rf67fvdqamcxcwdh0n4sumf5hc: ['GIGA-8a761a', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqcl0r6pfwth2egufzfxnhqz2dmhtw2qdm0n4sl36lpj: ['LMA30-9f9d7e', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqcr0gwsqf7lfa7l33gs75tmunly6sy0sk0n4sjtm366: ['NINJAGO-ac7d66', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqctlytfj7scea28r9m3wkddh8ksztgums0n4svufv6c: ['WEGLD-a28c59', 'TS23JJ-d6a8b5']
erd1qqqqqqqqqqqqqpgqda8760u8wre64wakh2y3tpat9php7t3q0n4svw7lap: ['BOOM-3a038a', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqdcz9j8caxuy2c8l98rln773yfdccaxpg0n4swy4tsz: ['DGN-08c84f', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqdhmfs7nxjerrrat9k2t4plr8n3hyz7sv0n4sjjnmmj: ['IS2-f9d7a4', 'WEGLD-a28c59']
